node_id,SH_aLRT,aBayes,UFBoot,pasa_SH_aLRT_80,pasa_aBayes_0.95,pasa_UFBoot_95,triple_soporte_alto
N001,0,0.333,76,0,0,0,0
N002,73.3,0.457,75,0,0,0,0
N003,98.9,1,100,1,1,1,1
N004,98.8,1,100,1,1,1,1
N005,99.8,1,99,1,1,1,1
N006,100,1,100,1,1,1,1
N007,93.3,0.99,87,1,1,0,0
N008,15.9,0.602,56,0,0,0,0
N009,99.9,1,100,1,1,1,1
N010,0,0.333,87,0,0,0,0
N011,0,0.333,70,0,0,0,0
N012,97,1,99,1,1,1,1
N013,95.3,1,96,1,1,1,1
N014,99,1,100,1,1,1,1
N015,29,0.792,63,0,0,0,0
N016,99.9,1,100,1,1,1,1
N017,96.1,1,99,1,1,1,1
N018,95.8,1,99,1,1,1,1
N019,99.9,1,100,1,1,1,1
N020,99.9,1,100,1,1,1,1
N021,0,0.333,26,0,0,0,0
N022,0,0.333,62,0,0,0,0
N023,73.5,0.467,100,0,0,1,0
N024,100,1,100,1,1,1,1
N025,20.7,0.655,40,0,0,0,0
N026,100,1,100,1,1,1,1
N027,31.6,0.85,61,0,0,0,0
N028,26.3,0.728,42,0,0,0,0
N029,97.8,1,99,1,1,1,1
N030,85.5,0.998,63,1,1,0,0
N031,0,0.333,97,0,0,1,0
N032,0,0.333,67,0,0,0,0
N033,95.4,1,97,1,1,1,1
N034,66.9,0.984,64,0,1,0,0
N035,94.1,1,84,1,1,0,0
N036,91.2,1,94,1,1,0,0
N037,98.3,1,100,1,1,1,1
N038,97.1,1,98,1,1,1,1
N039,99.9,1,100,1,1,1,1
N040,80.3,0.98,58,1,1,0,0
N041,39.8,0.536,52,0,0,0,0
N042,84.3,1,59,1,1,0,0
N043,85.7,0.999,93,1,1,0,0
N044,77.3,0.574,65,0,0,0,0
N045,95.7,1,99,1,1,1,1
N046,93.9,1,81,1,1,0,0
N047,99.9,1,99,1,1,1,1
N048,72.7,0.764,35,0,0,0,0
N049,86,0.908,54,1,0,0,0
N050,95.5,1,97,1,1,1,1
N051,97.2,1,99,1,1,1,1
N052,80.8,0.938,72,1,0,0,0
N053,0,0.333,45,0,0,0,0
N054,98.6,1,100,1,1,1,1
N055,73,0.972,65,0,1,0,0
N056,99.9,1,100,1,1,1,1
N057,98.5,1,100,1,1,1,1
N058,92.2,1,97,1,1,1,1
N059,80.7,0.899,68,1,0,0,0
N060,97,1,97,1,1,1,1
N061,85.8,1,80,1,1,0,0
N062,83.5,0.96,97,1,1,1,1
N063,98.3,1,100,1,1,1,1
N064,90.4,1,84,1,1,0,0
N065,89.7,0.985,72,1,1,0,0
N066,70.6,0.904,59,0,0,0,0
N067,84,0.98,85,1,1,0,0
N068,95.5,1,93,1,1,0,0
N069,91.6,0.995,97,1,1,1,1
N070,98.2,1,100,1,1,1,1
N071,87.2,0.997,94,1,1,0,0
N072,99.9,1,100,1,1,1,1
N073,80.6,0.901,74,1,0,0,0
N074,99.5,1,100,1,1,1,1
N075,51,0.686,59,0,0,0,0
N076,100,1,100,1,1,1,1
N077,96.3,1,94,1,1,0,0
N078,90.5,0.986,88,1,1,0,0
N079,95.2,1,96,1,1,1,1
N080,87.4,0.994,100,1,1,1,1
N081,88.8,0.999,93,1,1,0,0
N082,97.7,1,100,1,1,1,1
N083,98.7,1,100,1,1,1,1
N084,30.1,0.625,53,0,0,0,0
N085,98.6,1,97,1,1,1,1
N086,96.2,1,90,1,1,0,0
N087,99.2,1,73,1,1,0,0
N088,96.4,1,72,1,1,0,0
N089,97.6,1,69,1,1,0,0
N090,95.8,1,100,1,1,1,1
N091,100,1,100,1,1,1,1
N092,81.7,0.982,85,1,1,0,0
N093,97.6,1,100,1,1,1,1
N094,99.8,1,100,1,1,1,1
N095,0,0.333,58,0,0,0,0
N096,90.3,0.937,87,1,0,0,0
N097,98.4,1,100,1,1,1,1
N098,98.8,1,100,1,1,1,1
N099,96.1,1,97,1,1,1,1
N100,100,1,100,1,1,1,1
N101,100,1,100,1,1,1,1
N102,75.8,0.714,100,0,0,1,0
N103,99.1,1,100,1,1,1,1
N104,99.1,1,100,1,1,1,1
N105,71.8,0.708,67,0,0,0,0
N106,86.9,0.98,85,1,1,0,0
N107,92,0.999,95,1,1,1,1
N108,98.6,1,94,1,1,0,0
N109,95.8,1,94,1,1,0,0
N110,89.9,0.992,92,1,1,0,0
N111,100,1,100,1,1,1,1
N112,98.9,1,100,1,1,1,1
N113,0,0.333,59,0,0,0,0
N114,48.8,0.841,81,0,0,0,0
N115,99.5,1,100,1,1,1,1
N116,81.4,0.991,74,1,1,0,0
N117,92.2,1,90,1,1,0,0
N118,38.1,0.747,54,0,0,0,0
N119,99.9,1,100,1,1,1,1
N120,100,1,100,1,1,1,1
N121,90.9,0.999,93,1,1,0,0
N122,83.1,0.995,77,1,1,0,0
N123,99,1,98,1,1,1,1
N124,85.5,0.96,84,1,1,0,0
N125,99.8,1,100,1,1,1,1
N126,0,0.333,100,0,0,1,0
N127,100,1,100,1,1,1,1
N128,85.8,0.999,94,1,1,0,0
N129,44.8,0.934,78,0,0,0,0
N130,99,1,100,1,1,1,1
N131,97.8,1,100,1,1,1,1
N132,0,0.333,40,0,0,0,0
N133,78,0.772,75,0,0,0,0
N134,83.2,0.985,83,1,1,0,0
N135,90.1,1,99,1,1,1,1
N136,94.9,1,99,1,1,1,1
N137,61.5,0.869,75,0,0,0,0
N138,95.8,1,98,1,1,1,1
N139,96.5,1,99,1,1,1,1
N140,99.7,1,100,1,1,1,1
N141,98.4,1,100,1,1,1,1
N142,92.2,0.981,93,1,1,0,0
N143,95.8,1,97,1,1,1,1
N144,97.2,1,98,1,1,1,1
N145,87.7,0.972,89,1,1,0,0
N146,89.2,0.983,93,1,1,0,0
N147,95.3,1,93,1,1,0,0
N148,93.2,1,96,1,1,1,1
N149,99.9,1,100,1,1,1,1
N150,78.4,0.961,79,0,1,0,0
N151,0,0.333,70,0,0,0,0
N152,73.8,0.568,72,0,0,0,0
N153,98.3,1,100,1,1,1,1
N154,75.4,0.985,72,0,1,0,0
N155,82.3,0.994,80,1,1,0,0
N156,0,0.333,60,0,0,0,0
N157,99.7,1,100,1,1,1,1
N158,96.4,1,98,1,1,1,1
N159,75,0.853,85,0,0,0,0
N160,100,1,100,1,1,1,1
N161,100,1,100,1,1,1,1
N162,56.2,0.902,56,0,0,0,0
N163,71.4,0.646,62,0,0,0,0
N164,66.8,0.779,71,0,0,0,0
N165,100,1,100,1,1,1,1
N166,68.4,0.698,54,0,0,0,0
N167,98.3,1,94,1,1,0,0
N168,80.7,0.867,64,1,0,0,0
N169,100,1,100,1,1,1,1
N170,44.9,0.603,51,0,0,0,0
N171,81.8,0.936,85,1,0,0,0
N172,100,1,100,1,1,1,1
N173,99.1,1,100,1,1,1,1
N174,0,0.333,43,0,0,0,0
N175,77.1,0.608,62,0,0,0,0
N176,90.3,0.996,92,1,1,0,0
N177,0,0.333,65,0,0,0,0
N178,38.9,0.37,63,0,0,0,0
N179,100,1,100,1,1,1,1
N180,99.8,1,64,1,1,0,0
N181,93.4,1,57,1,1,0,0
N182,89.4,0.999,56,1,1,0,0
N183,100,1,100,1,1,1,1
N184,94.3,1,90,1,1,0,0
N185,99.7,1,100,1,1,1,1
N186,100,1,100,1,1,1,1
N187,46.4,0.751,60,0,0,0,0
N188,97.4,1,90,1,1,0,0
N189,70,0.483,48,0,0,0,0
N190,87.3,0.935,57,1,0,0,0
N191,100,1,100,1,1,1,1
N192,73.9,0.643,74,0,0,0,0
N193,88.7,1,88,1,1,0,0
N194,0,0.333,81,0,0,0,0
N195,99.8,1,100,1,1,1,1
N196,80.2,0.991,79,1,1,0,0
N197,98.5,1,97,1,1,1,1
N198,86.4,0.992,63,1,1,0,0
N199,87.9,0.994,89,1,1,0,0
N200,72.8,0.597,67,0,0,0,0
N201,100,1,100,1,1,1,1
N202,90.3,0.991,54,1,1,0,0
N203,86.9,1,84,1,1,0,0
N204,87.8,0.999,58,1,1,0,0
N205,82.3,0.906,95,1,0,1,0
N206,78.7,0.953,54,0,1,0,0
N207,53.4,0.897,48,0,0,0,0
N208,97.8,1,99,1,1,1,1
N209,99.3,1,100,1,1,1,1
N210,91.6,1,79,1,1,0,0
N211,80.3,0.914,44,1,0,0,0
N212,0,0.333,48,0,0,0,0
N213,0,0.333,51,0,0,0,0
N214,99.9,1,100,1,1,1,1
N215,50.2,0.691,33,0,0,0,0
N216,94.8,1,97,1,1,1,1
N217,85.7,0.994,90,1,1,0,0
N218,77.6,0.993,69,0,1,0,0
N219,0,0.333,35,0,0,0,0
N220,99.6,1,100,1,1,1,1
N221,99.7,1,100,1,1,1,1
N222,77.4,0.999,77,0,1,0,0
N223,93.8,1,97,1,1,1,1
N224,100,1,100,1,1,1,1
N225,90.4,0.999,74,1,1,0,0
N226,71.9,0.961,48,0,1,0,0
N227,98.1,1,100,1,1,1,1
N228,65.3,0.903,43,0,0,0,0
N229,96,1,89,1,1,0,0
N230,52,0.695,45,0,0,0,0
N231,81.7,0.98,64,1,1,0,0
N232,0,0.333,22,0,0,0,0
N233,96.1,1,99,1,1,1,1
N234,100,1,100,1,1,1,1
N235,94.4,1,89,1,1,0,0
N236,69.4,0.974,41,0,1,0,0
N237,76.9,0.659,100,0,0,1,0
N238,75.3,0.554,66,0,0,0,0
N239,95.6,1,99,1,1,1,1
N240,84.1,0.89,79,1,0,0,0
N241,99.5,1,100,1,1,1,1
N242,95.7,1,90,1,1,0,0
N243,76.2,0.946,78,0,0,0,0
N244,0,0.333,88,0,0,0,0
N245,0,0.333,75,0,0,0,0
N246,100,1,100,1,1,1,1
N247,97,1,91,1,1,0,0
N248,70,0.98,38,0,1,0,0
N249,97.6,1,98,1,1,1,1
N250,75,0.444,48,0,0,0,0
N251,42.4,0.822,42,0,0,0,0
N252,0,0.333,26,0,0,0,0
N253,99.8,1,100,1,1,1,1
N254,87.9,1,79,1,1,0,0
N255,92.3,1,88,1,1,0,0
N256,44.7,0.836,56,0,0,0,0
N257,82,0.997,76,1,1,0,0
N258,97.8,1,76,1,1,0,0
N259,97.4,1,100,1,1,1,1
N260,96.9,1,99,1,1,1,1
N261,88.5,1,69,1,1,0,0
N262,49.1,0.588,19,0,0,0,0
N263,89.5,0.996,40,1,1,0,0
N264,92.2,0.997,99,1,1,1,1
N265,99.8,1,100,1,1,1,1
N266,94.3,1,91,1,1,0,0
N267,89.5,1,48,1,1,0,0
N268,94.4,1,98,1,1,1,1
N269,92.4,1,49,1,1,0,0
N270,83.5,0.796,74,1,0,0,0
N271,96.7,1,100,1,1,1,1
N272,96.4,0.999,97,1,1,1,1
N273,100,1,100,1,1,1,1
N274,100,1,100,1,1,1,1
N275,99.7,1,97,1,1,1,1
N276,14.4,0.47,51,0,0,0,0
N277,95.4,1,88,1,1,0,0
