"","GreenFruit_1","GreenFruit_2","GreenFruit_3","RedFruit_1","RedFruit_2","RedFruit_3","Crown_1","Crown_2","Crown_3","LeafCtrl_1","LeafCtrl_2","LeafCtrl_3","RootsCtrl_1","RootsCtrl_3","AuxBud_1"
"HG-01",0.284751839753964,0.0905949245871703,0.370253412256564,0,0.0934055562081526,0,0,0,0,0.245193259652373,0.519337202183346,0.304442015949255,0.104260311019269,0.117282323271606,0.198310026460094
"HG-02",29.1109336199297,35.4203156537513,32.2047886043096,18.9564664669864,16.6263254323336,21.2517780370793,41.3938708552155,48.0774643654138,31.2322794153845,34.9823634430654,43.3175033762007,62.3122808925957,42.2793814676653,43.1520436841532,21.1299936492823
"HG-03",0.676285619415664,0.184425382195311,0.0792208877575981,0,0,0,0.0831317585296771,0.0897994251653998,0.268254116351594,1.82627214842711,0.552086494517624,1.99735832171278,1.5191283986312,1.89159178572465,2.90823877423796
"HG-04",0.282767506375888,0.0899636010708834,0,0.182354884902062,0,0,0.0811041546630996,0.175218390566634,0.460623012143974,2.59716902210179,4.12574502082937,0.906961406399347,1.65654013326783,0.931720198812756,0.295392112584287
"HG-05",147.545978977151,82.7174523891163,137.853821291944,5.26235424110195,6.30653579186521,3.47263169328559,50.1365919144685,24.862704909428,33.1357354230335,28.745372806103,28.4057347869996,33.8595698123936,126.036838626285,93.6333640800293,190.24190279544
"HG-06",230.816283299831,244.224094369095,248.167661003567,44.1709698284247,36.6780830318227,35.9661437555338,201.628372731073,128.339487773461,186.188938467138,244.852713494197,255.779298178173,167.062185883278,91.109678035945,123.601120300787,204.461208291426
"HG-07",11.315672960021,10.9439443166998,10.4272768934616,1.45534765937342,1.42205004238154,2.07552022525672,12.8860505612203,7.16292162037897,6.45595031886914,14.5669419947116,5.80419543241898,10.6309496657569,81.1826347039387,53.1599060319038,8.42742079915465
"HG-08",0,0.0905949245871703,0,0,0,0,0,0,0,0,0,0,0,0.245775456855938,0
"HG-09",418.634051579124,345.491331030635,387.164950451497,28.1368470489907,17.8232238594829,15.416985509357,318.541674899485,257.358607200732,240.055058612724,116.995934264829,101.18268266478,105.344348463726,1814.15766031139,1228.34030985556,38.2979835611027
"HG-10",14.2890284691821,16.5653621373862,13.9367638264415,4.01359958710685,2.79114034569328,0.55229869832411,19.9902930413424,37.0894200817498,28.5984688212326,17.3830161394054,9.5706603332403,8.72715798082336,737.542673402797,588.247211978573,33.9644556665002
"HG-11",1.42877243538521,1.81578762365941,1.20756064472761,0,0,0,1.51459231293795,2.06873186673994,1.27877959157274,0,0,0,0.101760920001684,0,0
"HG-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HG-13",12.0273237237332,8.91580152508722,19.0876710684281,0.460150513419427,2.44836720801863,0.422837353582949,3.44538091815895,3.07528454997157,2.55780712271113,361.917665761342,321.973924381705,308.830547097535,11.7803084099357,19.8824559064616,117.663868496738
"HG-14",71.7222392023454,57.2380603207233,66.7789117700352,34.1323052137788,25.2923754903134,24.0563455564084,260.888252020479,184.55845166164,194.884235783799,8.59884210359859,6.41003690566072,5.03026059838566,267.06654907932,159.00031100089,50.5523638663689
"HG-15",550.761747408891,477.0447058894,1236.15601265556,165.988285223961,341.322897831166,19.0812024607461,8.2048623726347,5.3632522354179,6.99911760087913,7.2607780371504,12.0214652831409,8.81701115544359,6.88046776900646,8.30425099830363,5.40114322324718
"HG-16",34.951114494201,27.8003045317986,36.5318682937627,189.637480903445,199.649306755143,143.809882238,0.92848988008767,1.06918847566677,1.72444545265866,2.44694015793638,2.4057659233166,2.16838579634445,1435.3244733937,851.266829272988,0.283241215260311
"HG-17",43.5448214437857,38.3718822865587,38.2894037783258,40.564594108918,42.1220026461848,39.1584032177269,24.0026685533352,22.7815754588519,32.4820678080991,19.2972680459063,23.8504563661798,26.1194781643287,26.1671429949279,21.9663471947621,33.0676319807033
"HG-18",0,0,0,7.65654130626751,7.69039079447123,8.68643649829662,0,0,0,0,0,0,0,0,0
"HG-19",11.0090640087088,18.8618008990341,13.8692541629828,654.687174257947,750.38114951432,844.976665590118,20.1296523032221,18.4416074271069,15.648406400375,0.589906045043465,0.562806910344969,0.80653705203305,6.2433777986593,5.50397870532199,3.64878460161871
"HG-20",66.3947186943604,55.6108817691502,50.9136922996607,12.599572692875,16.9692616183094,7.44162306760477,50.788280943169,56.3533046530716,53.7649919376645,6.30901834842193,8.08833035069752,4.22043875293589,95.3285604948228,42.5626026550441,12.2155951117768
"HG-21",1246.10745577359,713.504071609532,1039.78739949964,535.302834319156,572.082895082841,542.451205687455,806.116680595292,781.930366686201,860.634391532044,264.767824199809,157.261347945254,131.641017191911,268.513555036159,254.758747113528,721.019088777981
"HG-22",22.8259774029575,17.2721340910512,18.9337201081493,1.53034610383903,1.21957323088295,1.38160088379934,4.44900466105598,4.31414169128425,5.17362600411647,3.07418697928598,1.92415155102446,3.06363767967433,5.34198497292062,2.40203781308365,6.98073924609564
"HG-23",49.7101297129954,35.2273703592569,45.6245167004592,3.90890596871044,5.67087340393156,3.89268108177497,129.586802346907,165.179903718642,246.674070859148,50.4669088814811,35.5567307468128,37.9332944364188,239.00674213193,177.409604304284,195.401399870971
"HG-24",272.570852465696,275.542959069282,266.511526338971,78.3631107551514,90.2779080821701,84.5474313247136,32.4392002091157,31.071665065897,45.3602494875215,36.8071880556452,30.4112136546565,41.5109794843585,55.7328475667177,62.1718973854597,52.3951174586816
"HG-25",2.39787777971203,2.11867686052957,1.84876779301802,0,0,0,0.234856537550209,2.39359463872319,0.696540722938344,0.864128110553312,0.452469141280814,1.84701025219739,9.22333059223273,23.3409829765546,3.17510140272578
"HG-26",0.733738297827386,1.71322141417038,0.318721466470712,2.91727664827944,3.44423048706225,0.971071506582153,22.6505184213444,54.3991435908151,59.1465772756545,3.72372102489184,2.97582497761234,4.1012052012648,515.406084218928,348.840585810204,22.4896586889168
"HG-27",226.938362287214,189.255001002655,210.461903498664,103.810566724884,75.0734786700214,60.8012791425489,310.759633096399,340.285205602691,515.23392259002,206.788550078984,161.967768597085,125.604567757557,423.654397340505,464.763322669642,251.080149080073
"HG-28",1192.0780574778,963.622678238727,950.419568653246,1303.36456738913,1287.96465408536,1267.91070343667,816.256278007632,914.685730537505,1188.58957053303,133.155918021893,46.3452935141265,78.1551409094952,440.687715762256,285.738851915037,278.609112001014
"HG-29",0,0.204107142350542,0.104270970843005,0.310291612451928,0,0,0,0,0,0,0,0,0.117447385930797,0,0
"HG-30",2275.8564940607,2191.17494680401,1923.18038670916,5774.95937660669,5542.49345020871,5062.67093503061,717.864808380623,664.933872683909,632.651943253835,146.284547623745,140.847668190152,109.823935626665,1993.23645132945,1242.03331829977,533.517451332677
"HG-31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HG-S1",0,0,0,0,0,0,0.0973928551812117,0,0,0,0,0,0.621635745616982,0,0
